,Applied,Gender,Payment_Method,Location,Received,Id,Reason,Date,Age,Area,True_False
22830,$625.00,F,AV,PP,$625.00,GHI001712135,CR,30-Apr-19,40-44,AM,0
32835,$460.00,F,AV,M,$460.00,GHI000140573,CR,12-Nov-18,25-29,AM,0
163,$360.00,M,AV,M,$360.00,GHI001357314,CR,13-Dec-18,50-54,O,0
2844,$780.00,M,AV,NE,$780.00,GHI001588756,CR,20-Aug-18,60-64,T,0
21742,$200.00,M,AV,M,$200.00,GHI000075311,CR,08-Aug-18,25-29,NL,0
33087,$780.00,F,AV,NE,$780.00,GHI000140573,CR,17-Jul-18,20-24,AM,0
35148,"$1,620.00",F,RP,M,"$1,620.00",GHI000903682,CR,19-Dec-18,25-29,BP,0
35116,$640.00,M,AV,M,$640.00,GHI000903682,CR,10-Jul-17,20-24,BP,0
4048,$855.00,M,RP,PP,$855.00,GHI000275983,CR,13-Nov-17,25-29,AM,0
1276,"$1,000.00",F,AV,M,"$1,000.00",GHI000877574,CR,12-Jun-19,20-24,BP,0
9375,$410.00,F,AV,NE,$410.00,GHI000091678,CR,10-Nov-20,40-44,O,0
20560,"$1,500.00",F,AV,O,"$1,500.00",GHI001215499,CR,19-Nov-18,25-29,AM,0
37334,$220.00,M,AV,M,$220.00,GHI000157228,CR,09-Sep-20,40-44,S,0
6625,$960.00,F,AV,NE,$960.00,GHI000144654,CR,26-Nov-18,20-24,N,0
11,$285.00,F,AV,M,$285.00,GHI000761091,CR,03-Feb-20,30-34,BP,0
35488,$325.00,M,RP,PP,$325.00,GHI000089345,CR,23-Jan-17,25-29,C,0
13927,$600.00,F,AV,M,$600.00,GHI000601882,CR,05-Aug-19,25-29,AM,0
35899,"$1,160.00",F,AV,NE,"$1,160.00",GHI000504087,CR,28-Jul-20,65+,AM,0
18712,$350.00,M,AV,O,$350.00,GHI000137735,CR,23-Jun-20,40-44,S,0
29478,$540.00,F,AV,M,$540.00,GHI000133929,CR,20-Nov-19,30-34,AM,0
11758,$405.00,M,AV,NE,$405.00,GHI001076232,CR,10-Mar-17,65+,W,0
36881,$764.00,M,AV,NE,$764.00,GHI000514823,CR,20-Sep-18,50-54,AM,0
10392,$705.00,M,AV,M,$705.33,GHI000079129,CR,29-Jan-20,40-44,EC,0
23049,$500.00,F,AV,O,$500.00,GHI000203014,CR,25-Mar-19,30-34,AM,0
10006,$424.00,M,AV,PP,$424.06,GHI000084292,CR,20-Jun-19,65+,AM,0
5641,$780.00,F,RP,M,$780.00,GHI000138796,CR,01-Jul-19,45-49,EC,0
32389,$518.00,M,AV,M,$518.00,GHI000141841,CR,04-Jan-18,55-59,AM,0
24291,"$1,920.00",M,RP,NE,"$1,920.00",GHI000076584,CR,10-Apr-18,35-39,AM,0
16568,$320.00,M,AV,M,$320.00,GHI001571584,CR,13-Jun-19,45-49,W,0
2851,"$1,000.00",F,AV,NE,"$1,000.00",GHI000415498,CR,15-Jun-18,20-24,O,0
18311,"$1,200.00",M,AV,M,"$1,200.00",GHI000807708,CR,19-Aug-20,60-64,AM,0
964,$150.00,M,AV,M,$150.00,GHI000877574,CR,13-Mar-18,40-44,BP,0
16399,$360.00,M,AV,NE,$360.00,GHI000084252,CR,10-Jul-20,25-29,AM,0
38593,$185.00,F,AV,NE,$185.00,GHI001013507,CR,29-May-17,25-29,EC,0
807,"$1,360.00",F,RP,NE,"$1,360.00",GHI000274460,CR,29-Mar-18,25-29,W,0
9477,$565.00,F,AV,O,$565.00,GHI000091678,CR,17-May-19,20-24,N,0
30746,$63.00,F,AV,O,$62.58,GHI000145495,CR,04-Feb-19,40-44,NL,0
11176,"$1,580.00",M,AV,PP,"$1,580.00",GHI001252621,CR,13-Aug-20,20-24,O,0
10490,$420.00,F,AV,O,$419.75,GHI000095391,CR,25-Jun-19,20-24,AM,0
29062,$690.00,M,RP,M,$690.00,GHI000084353,CR,17-Feb-20,25-29,AM,0
32723,$457.00,F,AV,NE,$457.14,GHI000140573,CR,21-Dec-16,40-44,AM,0
31986,$495.00,M,AV,NE,$495.00,GHI000519178,CR,25-Jan-19,30-34,AM,0
10055,$173.00,M,AV,PP,$173.33,GHI000084484,CR,16-Feb-18,25-29,AM,0
9588,"$2,500.00",F,RP,M,"$2,500.00",GHI000083721,CR,15-Jul-19,18-19,AM,0
15648,$354.00,F,AV,M,$354.00,GHI000194567,CR,14-Nov-18,55-59,AM,0
34783,"$1,060.00",F,AV,M,"$1,060.00",GHI000342836,CR,09-Jul-20,30-34,BP,0
12865,$600.00,M,AV,M,$600.00,GHI000087300,CR,25-Oct-19,50-54,BP,0
29048,$650.00,M,AV,PP,$650.00,GHI000084353,CR,09-Jan-20,40-44,AM,0
36721,"$1,560.00",F,AV,NE,"$1,560.00",GHI001115143,CR,21-Aug-20,50-54,C,0
33065,"$1,200.00",F,AV,M,"$1,200.00",GHI000140573,CR,13-Feb-18,65+,O,0
13439,$760.00,F,AV,M,$760.00,GHI002035204,CR,11-Aug-20,25-29,C,0
18896,"$1,800.00",F,RP,M,"$1,800.00",GHI001424655,CR,13-Mar-19,35-39,NL,0
27166,$600.00,F,AV,M,$600.00,GHI000078204,CR,20-Jan-17,30-34,AM,0
35870,"$1,100.00",F,AV,PP,"$1,100.00",GHI000504087,CR,08-Feb-17,18-19,O,0
11240,$170.00,F,AV,M,$170.00,GHI000416270,CR,04-Jan-18,55-59,C,0
26859,$720.00,F,AV,O,$720.00,GHI001405981,CR,15-Mar-18,65+,AM,0
14076,$120.00,F,AV,PP,$120.00,GHI000086623,CR,04-Sep-20,65+,Wlg,0
13461,"$1,098.00",F,RP,NE,"$1,098.48",GHI000342033,CR,19-Oct-20,50-54,O,0
36147,$870.00,M,AV,M,$870.00,GHI000179530,CR,29-Apr-19,50-54,T,0
1283,$760.00,M,AV,M,$760.00,GHI000877574,CR,01-Jul-19,30-34,BP,0
30052,"$2,240.00",F,AV,PP,"$2,240.00",GHI000134156,CR,05-Jun-20,20-24,AM,0
1295,$760.00,M,RP,M,$760.00,GHI000877574,CR,06-Aug-19,30-34,BP,0
19999,$100.00,F,RP,M,$100.00,GHI000143720,CR,21-Aug-18,25-29,W,0
5073,$176.00,F,AV,M,$175.50,GHI000086656,CR,02-Aug-18,55-59,O,0
13415,$575.00,F,AV,U,$575.00,GHI001349125,CR,09-Dec-19,45-49,AM,0
34976,$585.00,M,RP,M,$585.00,GHI000151568,CR,26-Oct-18,25-29,C,0
16206,$990.00,M,AV,PP,$990.00,GHI000084252,CR,27-Jul-18,30-34,AM,0
15739,$640.00,M,RP,O,$640.00,GHI000084252,CR,25-Sep-17,25-29,AM,0
34131,$839.00,F,AV,O,$838.50,GHI000221266,CR,21-Mar-17,65+,AM,0
9911,$500.00,F,AV,M,$500.00,GHI001260818,CR,13-Sep-18,35-39,EC,0
7760,"$2,280.00",F,AV,PP,"$2,280.00",GHI000151115,CR,21-Aug-19,50-54,AM,0
38459,$400.00,F,AV,M,$400.00,GHI001554434,CR,20-May-19,18-19,W,0
5792,$355.00,F,AV,O,$355.00,GHI000097641,CR,22-Mar-18,65+,N,0
7726,$200.00,F,AV,M,$200.00,GHI000151115,CR,28-Mar-19,30-34,AM,0
9028,$138.00,F,AV,M,$138.00,GHI000208391,CR,14-Oct-20,50-54,AM,1
36668,$773.00,M,AV,NE,$772.50,GHI001115143,CR,21-Feb-17,20-24,C,0
7305,$796.00,F,AV,M,$796.00,GHI001614851,CR,27-Dec-19,20-24,O,0
7909,$325.00,M,RP,PP,$325.00,GHI001562883,CR,02-Oct-20,25-29,AM,0
31538,"$1,255.00",F,AV,PP,"$1,254.50",GHI000137495,CR,19-Jul-17,25-29,AM,0
22889,"$1,920.00",F,AV,PP,"$1,920.00",GHI000842497,CR,09-Apr-18,35-39,AM,0
985,$300.00,M,AV,NE,$300.00,GHI000877574,CR,24-Jul-18,55-59,BP,0
21740,$75.00,F,AV,NE,$75.00,GHI000075311,CR,31-Jul-18,30-34,NL,0
35296,$495.00,F,AV,M,$494.50,GHI001370880,CR,27-Nov-19,40-44,W,0
17979,"$1,200.00",F,AV,NE,"$1,200.00",GHI000955908,CR,19-Dec-18,35-39,AM,0
9383,"$1,030.00",M,AV,NE,"$1,030.00",GHI000091678,CR,21-Feb-17,50-54,C,0
10715,$780.00,F,AV,M,$780.00,GHI000338712,CR,17-Feb-17,40-44,NL,0
11738,$576.00,M,RP,M,$576.00,GHI000141852,CR,18-Sep-20,50-54,O,0
25518,$335.00,F,AV,NE,$334.90,GHI000229632,CR,30-Nov-20,30-34,O,0
31879,$440.00,F,AV,PP,$440.00,GHI000137495,CR,07-Oct-20,40-44,T,0
21694,$400.00,F,AV,O,$400.00,GHI000157021,CR,03-May-18,20-24,EC,0
19702,$760.00,M,AV,M,$760.00,GHI002005778,CR,17-Sep-20,25-29,O,0
29974,$510.00,F,AV,M,$510.00,GHI000134156,CR,24-Dec-19,30-34,AM,0
34851,$500.00,M,AV,O,$500.00,GHI001810448,CR,02-Oct-19,35-39,AM,0
893,$180.00,M,AV,M,$180.00,GHI000877574,CR,01-Jun-17,30-34,BP,0
11649,$444.00,F,AV,PP,$444.00,GHI000141852,CR,11-Apr-19,30-34,O,0
11409,$132.00,M,AV,M,$132.00,GHI000141852,CR,06-Oct-17,50-54,O,0
36289,$520.00,F,AV,M,$520.00,GHI001538063,CR,24-May-18,18-19,O,0
2648,"$1,640.00",F,AV,M,"$1,640.00",GHI000873735,CR,24-Apr-17,25-29,AM,0
35726,$220.00,M,AV,NE,$220.00,GHI001011712,CR,08-Mar-19,45-49,C,0
27072,"$1,400.00",F,AV,NE,"$1,400.00",GHI000222795,CR,10-Jul-20,25-29,O,0
7919,"$1,100.00",F,AV,M,"$1,100.00",GHI001562883,CR,16-Oct-20,40-44,AM,0
11834,$266.00,F,AV,U,$266.00,GHI001076232,CR,29-Jul-20,25-29,O,0
4770,"$1,120.00",F,AV,M,"$1,120.00",GHI001017878,CR,07-Dec-16,30-34,Wlg,0
28355,"$1,480.00",M,RP,NE,"$1,480.00",GHI000080965,CR,14-Sep-20,35-39,W,0
38417,$300.00,M,AV,NE,$300.00,GHI001959168,CR,15-May-20,30-34,AM,0
3214,$800.00,F,AV,M,$800.00,GHI000086145,CR,03-Oct-17,40-44,AM,0
20494,$600.00,F,AV,NE,$600.00,GHI001690112,CR,15-Mar-19,30-34,S,0
14808,$212.00,M,AV,NE,$212.00,GHI000135471,CR,21-Aug-18,55-59,O,0
6741,"$1,024.00",F,AV,NE,"$1,023.50",GHI000226053,CR,03-Oct-20,35-39,W,0
4662,$475.00,F,AV,M,$475.00,GHI000132141,CR,16-Mar-17,30-34,Wlg,0
