,Applied,Gender,Payment_Method,Location,Received,Id,Reason,Date,Age,Area,True_False
24147,$510.00,F,RP,NE,$510.00,GHI000076584,CR,11-Mar-19,35-39,AM,0
14970,$252.00,M,AV,PP,$252.00,GHI000135471,CR,08-Apr-20,30-34,O,0
19230,$140.00,M,AV,M,$140.00,GHI000159249,CR,21-Sep-17,50-54,EC,0
5181,$380.00,M,RP,NE,$380.00,GHI000844291,CR,02-Jul-18,35-39,N,0
18322,$320.00,F,AV,NE,$320.00,GHI000441861,CR,30-Apr-20,20-24,T,0
20469,"$1,000.00",F,AV,PP,"$1,000.00",GHI000153867,CR,19-Oct-18,20-24,AM,0
36386,$310.00,M,AV,NE,$310.00,GHI000079891,CR,20-Mar-17,20-24,BP,0
18848,$640.00,F,AV,M,$640.00,GHI001674496,CR,04-Feb-19,20-24,O,0
26226,$349.00,M,AV,PP,$349.03,GHI000818689,CR,02-Oct-18,60-64,AM,0
15340,$320.00,F,AV,NE,$320.00,GHI001867266,CR,15-Jan-20,30-34,BP,0
21445,$600.00,M,RP,O,$600.00,GHI001761792,CR,23-Sep-20,25-29,C,0
12215,$68.00,M,AV,NE,$68.00,GHI001304576,CR,17-Jun-20,20-24,O,0
17715,$857.00,M,AV,M,$857.41,GHI000081913,CR,26-Aug-20,65+,C,0
20966,$395.00,F,AV,M,$395.00,GHI001805592,CR,08-May-20,45-49,O,0
37205,$692.00,M,AV,M,$691.56,GHI000081506,CR,03-May-18,60-64,EC,0
35028,"$1,100.00",F,AV,M,"$1,100.00",GHI001942024,CR,15-Oct-20,45-49,AM,0
19783,$750.00,F,AV,PP,$750.00,GHI001059589,CR,05-Feb-18,65+,AM,0
1029,$330.00,F,AV,M,$330.00,GHI000877574,CR,14-Jan-19,45-49,BP,0
35525,"$1,520.00",F,RP,O,"$1,520.00",GHI000089345,CR,20-Oct-20,20-24,O,0
10080,"$1,360.00",F,AV,NE,"$1,360.00",GHI000330504,CR,06-Mar-18,25-29,S,0
19824,"$1,185.00",F,AV,O,"$1,185.00",GHI000272648,CR,01-Dec-16,30-34,W,0
