Taka Ap,Lingo,Payment Dhoron,Jaega,Taka Pr,Gupto,Takar Karon,Tarik,Boyosh,Kon Jaegar Lok,Sotti_Mithye
$775.00,F,AV,O,$775.00,GHI001721881,CR,04-Nov-20,25-29,PP,0
$330.00,F,AV,S,$330.00,GHI001639172,CR,26-Nov-18,18-19,NE,0
$204.00,M,AV,C,$204.41,GHI000923920,CR,16-Feb-17,65+,NE,0
$325.00,M,AV,S,$325.00,GHI000270611,CR,14-Jul-17,30-34,O,0
$325.00,M,AV,S,$325.00,GHI000270611,CR,14-Jul-17,30-34,O,0
"$1,300.00",M,AV,S,"$1,300.00",GHI000270611,CR,14-Jul-17,30-34,O,0
$933.00,F,AV,BP,$932.52,GHI001506565,CR,11-Jun-19,45-49,NE,0
$350.00,F,RP,O,$349.95,GHI001506565,CR,04-Sep-19,35-39,M,0
$350.00,F,AV,BP,$350.00,GHI000761091,CR,12-Aug-19,35-39,M,0
$550.00,F,AV,BP,$550.00,GHI000761091,CR,21-Nov-19,40-44,M,0
$840.00,M,AV,C,$840.00,GHI000761091,CR,03-Dec-19,30-34,M,0
$285.00,F,AV,BP,$285.00,GHI000761091,CR,03-Feb-20,30-34,M,0
$520.00,M,AV,BP,$520.00,GHI000761091,CR,04-Feb-20,35-39,PP,0
$540.00,M,AV,BP,$540.00,GHI000761091,CR,17-Feb-20,45-49,M,0
$570.00,F,AV,BP,$570.00,GHI000761091,CR,23-Jun-20,40-44,M,0
$295.00,F,AV,BP,$295.00,GHI000761091,CR,10-Jul-20,30-34,M,0
$980.00,F,AV,O,$980.00,GHI000761091,CR,21-Nov-20,25-29,M,0
$380.00,F,AV,W,$380.00,GHI001599497,CR,14-Sep-18,20-24,O,0
$430.00,M,AV,BP,$430.00,GHI001599497,CR,25-Sep-18,20-24,M,0
$430.00,M,AV,BP,$430.00,GHI001599497,CR,25-Sep-18,55-59,M,0
$470.00,F,AV,EC,$470.00,GHI001599497,CR,12-Dec-18,35-39,M,0
$244.00,F,AV,BP,$244.30,GHI001599497,CR,15-Dec-18,30-34,NE,0
$430.00,F,AV,AM,$430.00,GHI001599497,CR,08-Mar-19,50-54,M,0
$440.00,F,AV,W,$440.00,GHI001599497,CR,15-Apr-19,25-29,M,0
$840.00,F,AV,BP,$840.00,GHI001599497,CR,23-Sep-19,40-44,NE,0
$840.00,F,AV,BP,$840.00,GHI001599497,CR,02-Jun-20,25-29,M,0
$940.00,F,AV,O,$940.00,GHI001599497,CR,06-Aug-20,40-44,M,0
$900.00,F,AV,BP,$900.00,GHI001599497,CR,30-Nov-20,30-34,M,0
"$1,400.00",F,AV,BP,"$1,400.00",GHI000761091,CR,07-Aug-19,30-34,NE,0
"$1,400.00",F,AV,BP,"$1,400.00",GHI000761091,CR,12-Aug-19,35-39,M,0
"$1,100.00",F,AV,BP,"$1,100.00",GHI000761091,CR,21-Nov-19,40-44,M,0
"$1,680.00",M,AV,C,"$1,680.00",GHI000761091,CR,03-Dec-19,30-34,M,0
"$1,710.00",F,AV,BP,"$1,710.00",GHI000761091,CR,03-Feb-20,30-34,M,0
"$1,040.00",M,AV,BP,"$1,040.00",GHI000761091,CR,04-Feb-20,35-39,PP,0
"$1,080.00",M,AV,BP,"$1,080.00",GHI000761091,CR,17-Feb-20,45-49,M,0
"$1,140.00",F,AV,BP,"$1,140.00",GHI000761091,CR,23-Jun-20,40-44,M,0
"$1,180.00",F,AV,BP,"$1,180.00",GHI000761091,CR,10-Jul-20,30-34,M,0
"$2,100.00",F,AV,O,"$2,100.00",GHI000761091,CR,14-Aug-20,20-24,M,0
"$1,960.00",F,AV,O,"$1,960.00",GHI000761091,CR,21-Nov-20,25-29,M,0
"$1,520.00",F,AV,W,"$1,520.00",GHI001599497,CR,14-Sep-18,20-24,O,0
$860.00,M,AV,BP,$860.00,GHI001599497,CR,25-Sep-18,20-24,M,0
$860.00,M,AV,BP,$860.00,GHI001599497,CR,25-Sep-18,55-59,M,0
$700.00,F,AV,BP,$700.00,GHI001599497,CR,16-Oct-18,60-64,NE,0
"$1,880.00",F,AV,EC,"$1,880.00",GHI001599497,CR,12-Dec-18,35-39,M,0
"$1,760.00",F,AV,BP,"$1,760.00",GHI001599497,CR,15-Dec-18,30-34,NE,0
"$1,720.00",F,AV,AM,"$1,720.00",GHI001599497,CR,08-Mar-19,50-54,M,0
"$1,760.00",F,AV,W,"$1,760.00",GHI001599497,CR,15-Apr-19,25-29,M,0
"$1,680.00",F,AV,BP,"$1,680.00",GHI001599497,CR,23-Sep-19,40-44,NE,0
"$1,680.00",F,AV,BP,"$1,680.00",GHI001599497,CR,02-Jun-20,25-29,M,0
"$1,880.00",F,AV,O,"$1,880.00",GHI001599497,CR,06-Aug-20,40-44,M,0
"$2,520.00",F,AV,O,"$2,520.00",GHI001599497,CR,27-Nov-20,60-64,M,0
"$1,800.00",F,AV,BP,"$1,800.00",GHI001599497,CR,30-Nov-20,30-34,M,0
$800.00,F,RP,W,$800.00,GHI001879552,CR,11-Feb-20,30-34,NE,0
"$1,200.00",F,RP,W,"$1,200.00",GHI001879552,CR,11-Feb-20,30-34,NE,0
$300.00,F,AV,O,$300.00,GHI000362753,CR,27-Nov-19,20-24,NE,0
$900.00,F,AV,O,$900.00,GHI000362753,CR,27-Nov-19,20-24,NE,0
$580.00,F,AV,Wlg,$580.00,GHI001699334,CR,09-Apr-19,25-29,NE,0
"$1,160.00",F,AV,Wlg,"$1,160.00",GHI001699334,CR,09-Apr-19,25-29,NE,0
$260.00,M,AV,AM,$260.00,GHI001425921,CR,25-Oct-17,30-34,PP,0
