,Applied,Gender,Payment_Method,Location,Received,Id,Reason,Date,Age,Area,True_False
96163,$524.00,F,RP,O,$524.00,GHI001206283,RA,09-Jul-18,30-34,O,0
91210,$250.00,M,RP,PP,$250.00,GHI000753413,RA,26-Jun-19,50-54,AM,0
65529,$136.00,F,AV,NE,$136.00,GHI000112669,RA,07-Sep-20,50-54,O,0
113243,$300.00,F,AV,NE,$300.00,GHI000094993,RA,28-Mar-20,30-34,EC,0
87702,$560.00,F,AV,M,$560.00,GHI001536010,RA,17-May-18,30-34,AM,0
54803,$222.00,F,AV,M,$222.00,GHI000112669,RA,25-Sep-18,40-44,O,0
91061,$500.00,M,RP,NE,$500.00,GHI000753413,RA,14-Feb-19,50-54,AM,0
120644,$660.00,F,AV,NE,$660.00,GHI001175042,RA,21-Feb-19,18-19,O,0
123725,$355.00,F,AV,M,$355.00,GHI000088532,RA,12-Sep-18,40-44,N,0
50903,$110.00,M,AV,NE,$110.00,GHI000112669,RA,15-Jan-18,50-54,O,0
74903,$350.00,F,RP,M,$350.00,GHI000849935,RA,30-Jul-18,25-29,AM,0
7857,$585.00,F,AV,M,$585.00,GHI000238920,RA,08-Jul-20,25-29,O,0
33895,$140.00,M,AV,NE,$140.00,GHI000317709,RA,07-Sep-20,55-59,S,0
94352,$550.00,F,AV,PP,$550.00,GHI000722944,RA,01-Feb-19,25-29,AM,0
137916,$570.00,M,AV,M,$570.00,GHI000074516,RA,23-Nov-17,25-29,AM,0
79048,$280.00,M,AV,NE,$280.00,GHI000086558,RA,05-Jul-17,50-54,C,0
17704,$360.00,F,AV,M,$360.00,GHI001380874,RA,27-Jul-17,20-24,W,0
114825,$240.00,F,AV,O,$240.00,GHI001429524,RA,08-Jun-20,50-54,C,0
60499,$137.00,M,AV,O,$137.00,GHI000112669,RA,17-Sep-19,40-44,O,0
139899,$570.00,M,AV,M,$570.00,GHI000422920,RA,20-Jun-19,25-29,AM,0
25476,$559.00,F,AV,NE,$559.00,GHI001224204,RA,06-Nov-18,35-39,W,0
90389,$260.00,M,AV,U,$260.00,GHI000753413,RA,02-Feb-17,35-39,AM,0
122470,$175.00,M,AV,NE,$175.00,GHI001130250,RA,21-Dec-16,25-29,BP,0
47949,$210.00,F,AV,M,$210.00,GHI000112669,RA,18-Jul-17,25-29,O,0
137706,$800.00,F,AV,M,$800.00,GHI000086142,RA,17-Oct-19,20-24,BP,0
66144,$124.00,F,AV,M,$124.00,GHI000112669,RA,15-Oct-20,45-49,O,0
109264,$290.00,F,AV,M,$290.00,GHI000074520,RA,20-Mar-20,35-39,NL,0
88152,$600.00,M,RP,M,$600.00,GHI001982976,RA,27-Jul-20,40-44,AM,0
83486,$350.00,F,AV,PP,$350.00,GHI000739845,RA,30-Jun-20,55-59,Wlg,0
18026,$111.00,F,AV,PP,$111.00,GHI000096195,RA,16-Nov-18,20-24,O,0
71535,$580.00,M,AV,M,$580.00,GHI000258589,RA,30-Oct-19,45-49,AM,0
129933,$370.00,M,AV,NE,$370.00,GHI000100619,RA,12-Jan-18,25-29,C,0
134955,$108.00,M,RP,O,$108.00,GHI000148009,RA,16-Dec-19,55-59,O,0
66195,$135.00,M,AV,O,$135.00,GHI000112669,RA,19-Oct-20,35-39,O,0
87790,$294.00,M,AV,M,$294.00,GHI000523782,RA,25-Sep-20,40-44,W,0
75072,$530.00,F,AV,M,$530.00,GHI001873417,RA,17-Jan-20,30-34,AM,0
100275,$540.00,F,AV,O,$540.00,GHI000418828,RA,15-May-18,20-24,S,0
28551,$660.00,M,RP,M,$660.00,GHI000134686,RA,13-Sep-19,35-39,AM,0
8507,$320.00,F,AV,O,$320.00,GHI001334540,RA,02-May-17,30-34,EC,0
73883,$244.00,F,RP,PP,$244.00,GHI000312072,RA,24-Sep-20,25-29,O,0
67562,$295.00,M,AV,NE,$295.00,GHI001672455,RA,01-Feb-19,60-64,C,0
90734,$480.00,F,AV,PP,$480.00,GHI000753413,RA,10-May-18,20-24,AM,0
139420,$150.00,M,AV,M,$150.00,GHI001366282,RA,04-Sep-17,40-44,EC,0
107502,$579.00,F,AV,M,$578.57,GHI000146296,RA,18-Apr-18,45-49,C,0
7853,"$1,090.00",F,AV,M,"$1,090.00",GHI000238920,RA,12-Jun-20,25-29,AM,0
60012,$195.00,F,RP,PP,$195.00,GHI000112669,RA,19-Aug-19,35-39,O,0
1439,$250.00,M,AV,M,$250.00,GHI001560064,RA,30-Jul-19,30-34,O,0
124737,$270.00,F,AV,M,$270.00,GHI000161390,RA,07-Mar-17,17,O,0
2666,$806.00,F,RP,NE,$806.25,GHI000088832,RA,05-Oct-17,20-24,N,0
70373,$300.00,F,AV,M,$300.00,GHI000196638,RA,21-Feb-17,25-29,C,0
20034,$380.00,F,RP,M,$380.00,GHI000158016,RA,16-Jan-20,35-39,N,0
140168,"$2,109.00",F,AV,NE,"$2,109.25",GHI000947978,RA,15-Oct-18,65+,C,0
118326,$300.00,M,AV,NE,$300.00,GHI000081992,RA,30-Jan-20,55-59,BP,0
74031,$280.00,M,AV,M,$280.00,GHI000142336,RA,28-Jun-19,50-54,NL,0
123031,$470.00,F,AV,NE,$470.00,GHI000086607,RA,14-Jun-19,45-49,Wlg,0
111504,$250.00,M,AV,M,$250.00,GHI000082031,RA,20-Feb-18,30-34,T,0
134711,$333.00,F,RP,NE,$332.50,GHI000096274,RA,07-Aug-17,18-19,C,0
5142,$330.00,F,AV,NE,$330.00,GHI001229827,RA,02-Jun-20,30-34,W,0
82278,$240.00,M,AV,NE,$240.00,GHI000142086,RA,26-May-17,45-49,AM,0
46372,$104.00,F,AV,O,$104.00,GHI000112669,RA,18-Apr-17,60-64,O,0
19188,$300.00,F,AV,NE,$300.00,GHI000260870,RA,31-Aug-20,50-54,O,0
27277,$239.00,F,AV,NE,$239.40,GHI000145443,RA,26-Apr-18,20-24,S,0
85895,$940.00,F,AV,M,$940.00,GHI002063364,RA,14-Sep-20,25-29,NL,0
137960,$948.00,M,AV,NE,$948.00,GHI000074516,RA,31-May-18,30-34,C,0
109501,$255.00,F,RP,U,$255.00,GHI000095098,RA,27-Apr-18,20-24,BP,0
122784,$340.00,F,AV,M,$340.00,GHI001794566,RA,19-Feb-20,20-24,BP,0
39861,$440.00,F,AV,M,$440.00,GHI000431616,RA,25-Sep-20,20-24,O,0
124053,$230.00,F,AV,O,$230.00,GHI000312840,RA,19-Mar-18,45-49,O,0
82615,$335.00,M,RP,PP,$335.00,GHI000076617,RA,12-Feb-20,25-29,O,0
34784,$145.00,M,AV,O,$145.00,GHI000161437,RA,17-Oct-17,30-34,S,0
86510,$320.00,M,AV,NE,$320.00,GHI000140592,RA,13-Dec-17,25-29,T,0
85508,$45.00,F,AV,M,$45.30,GHI000082059,RA,05-May-17,60-64,C,0
64676,$135.00,M,AV,M,$135.00,GHI000112669,RA,10-Jul-20,25-29,O,0
81825,$370.00,M,AV,U,$370.00,GHI001169162,RA,26-Jun-17,40-44,Wlg,0
51857,$286.00,F,RP,M,$286.00,GHI000112669,RA,13-Mar-18,25-29,O,0
49578,$106.00,M,AV,NE,$106.00,GHI000112669,RA,19-Oct-17,30-34,O,0
25969,$700.00,F,RP,PP,$700.00,GHI001690880,RA,06-Jun-19,20-24,C,0
12045,$550.00,F,AV,M,$550.00,GHI000137495,RA,09-Jun-17,40-44,AM,0
46935,$188.00,F,AV,NE,$188.00,GHI000112669,RA,25-May-17,30-34,O,0
65972,$358.00,F,RP,M,$358.00,GHI000112669,RA,05-Oct-20,25-29,O,0
2417,$330.00,F,RP,U,$330.00,GHI000147987,RA,21-Jun-18,30-34,N,0
57833,$222.00,F,AV,M,$222.00,GHI000112669,RA,23-Apr-19,20-24,O,0
142188,$315.00,M,AV,O,$315.00,GHI001853440,RA,24-Sep-20,60-64,AM,0
116515,$170.00,M,AV,NE,$170.00,GHI000394513,RA,08-May-17,50-54,C,0
94054,$980.00,F,AV,M,$980.00,GHI000088571,RA,04-Oct-19,30-34,NL,0
58837,$226.00,F,AV,M,$226.00,GHI000112669,RA,26-Jun-19,25-29,O,0
101880,$500.00,F,AV,U,$500.00,GHI001797127,RA,07-Jul-20,25-29,O,0
10956,$590.00,M,RP,M,$590.00,GHI000084353,RA,28-Jun-18,20-24,AM,0
80781,$250.00,F,RP,M,$250.00,GHI000869386,RA,09-Oct-20,25-29,O,0
16017,$395.00,F,RP,M,$395.00,GHI001532421,RA,16-Oct-20,40-44,O,0
108045,$550.00,F,RP,M,$550.00,GHI001590281,RA,21-Nov-18,25-29,AM,0
98688,$330.00,F,RP,NE,$330.00,GHI000146264,RA,21-May-20,30-34,W,0
136673,$210.00,F,RP,M,$210.00,GHI001710849,RA,16-Apr-19,25-29,O,0
71859,$700.00,M,RP,NE,$700.00,GHI001900800,RA,25-Feb-20,45-49,AM,0
1075,$600.00,F,RP,M,$600.00,GHI000106241,RA,03-Aug-17,35-39,BP,0
36864,$120.00,F,AV,M,$120.00,GHI001213198,RA,12-Dec-17,18-19,BP,0
120062,$390.00,F,RP,M,$390.00,GHI000096208,RA,03-Dec-18,40-44,T,0
29187,$690.00,F,AV,M,$690.00,GHI000689164,RA,09-Oct-17,20-24,C,0
134017,$180.00,F,AV,M,$180.00,GHI000140328,RA,18-Apr-17,60-64,W,0
29166,$425.00,F,AV,O,$425.00,GHI001656854,RA,11-May-20,25-29,AM,0
44185,$104.00,M,AV,M,$104.00,GHI000112669,RA,02-Dec-16,55-59,O,0
138973,$46.00,M,AV,M,$45.70,GHI000165164,RA,11-Dec-18,40-44,W,0
44533,$130.00,M,AV,NE,$130.00,GHI000112669,RA,20-Dec-16,60-64,O,0
135040,$360.00,F,AV,M,$360.00,GHI001525763,RA,20-Aug-18,20-24,BP,0
80706,$136.00,M,AV,M,$136.00,GHI000869386,RA,02-Jul-20,35-39,O,0
83714,$400.00,F,RP,M,$400.00,GHI002045705,RA,24-Aug-20,25-29,W,0
32134,$450.00,F,AV,NE,$450.00,GHI001384453,RA,10-Sep-20,25-29,T,0
99597,$245.00,M,AV,M,$245.00,GHI000405521,RA,26-Nov-19,35-39,AM,0
21255,$360.00,M,AV,M,$360.00,GHI001992706,RA,29-Sep-20,25-29,AM,0
54398,$222.00,F,AV,M,$222.00,GHI000112669,RA,28-Aug-18,20-24,O,0
71515,$150.00,F,AV,M,$150.00,GHI000192534,RA,23-Mar-18,18-19,S,0
86090,$290.00,M,AV,PP,$290.00,GHI000085558,RA,09-May-18,20-24,EC,0
18014,$134.00,M,AV,O,$134.00,GHI000096195,RA,05-Nov-18,55-59,O,0
115272,$310.00,F,AV,NE,$310.00,GHI000618240,RA,23-Jun-17,25-29,S,0
65492,$158.00,F,AV,NE,$158.00,GHI000112669,RA,04-Sep-20,35-39,O,0
130147,$585.00,M,AV,M,$585.00,GHI000100619,RA,04-Apr-19,30-34,C,0
64198,$108.00,F,AV,M,$108.00,GHI000112669,RA,10-Jun-20,50-54,O,0
53372,$212.00,F,AV,M,$212.00,GHI000112669,RA,26-Jun-18,30-34,O,0
48890,$106.00,F,AV,M,$106.00,GHI000112669,RA,07-Sep-17,35-39,O,0
24877,$385.00,F,AV,M,$385.00,GHI001442048,RA,10-Nov-17,25-29,BP,0
91822,$240.00,M,AV,M,$240.00,GHI000982532,RA,07-Aug-20,25-29,AM,0
93666,$280.00,M,AV,PP,$280.00,GHI000137493,RA,11-Jun-20,20-24,AM,0
33492,$400.00,M,RP,O,$400.00,GHI001014273,RA,19-Apr-18,30-34,AM,0
50588,$210.00,F,AV,M,$210.00,GHI000112669,RA,19-Dec-17,30-34,O,0
59160,$226.00,F,AV,NE,$226.00,GHI000112669,RA,11-Jul-19,40-44,O,0
47397,$208.00,F,AV,M,$208.00,GHI000112669,RA,21-Jun-17,20-24,O,0
137039,$215.00,F,RP,M,$215.00,GHI000591881,RA,05-Jul-18,25-29,EC,0
84420,$220.00,M,RP,M,$220.00,GHI000733697,RA,21-Dec-18,40-44,AM,0
32967,$196.00,M,AV,NE,$196.00,GHI000102665,RA,20-Jul-20,40-44,N,0
90099,$520.00,F,AV,M,$520.00,GHI001057536,RA,21-Nov-17,65+,N,0
134893,$106.00,M,AV,M,$106.00,GHI000148009,RA,13-Dec-18,45-49,O,0
127875,$250.00,M,AV,M,$250.00,GHI001938691,RA,18-Jun-20,50-54,BP,0
136915,$400.00,F,AV,NE,$400.00,GHI000186410,RA,05-Jan-18,45-49,C,0
57540,$222.00,F,AV,PP,$222.00,GHI000112669,RA,01-Apr-19,30-34,O,0
25044,$150.00,M,AV,NE,$150.00,GHI001959169,RA,08-May-20,20-24,S,0
10252,$430.00,F,RP,PP,$430.00,GHI002113025,RA,18-Nov-20,20-24,AM,0
13685,$250.00,F,AV,O,$250.00,GHI000890627,RA,05-Jul-19,60-64,AM,0
