,Applied,Gender,Payment_Method,Location,Received,Id,Reason,Date,Age,Area,True_False
120628,"$1,760.00",F,AV,NE,"$1,760.00",GHI000081283,TB,19-Sep-19,35-39,BP,0
73316,"$1,360.00",M,RP,M,"$1,360.00",GHI000402974,TB,05-Jun-19,35-39,BP,0
108895,"$1,200.00",M,RP,NE,"$1,200.00",GHI000085542,TB,28-Nov-18,20-24,C,0
41066,"$3,100.00",F,AV,M,"$3,100.00",GHI001497095,TB,18-Sep-18,30-34,BP,0
62592,$460.00,F,AV,M,$460.00,GHI000358933,TB,05-Nov-18,45-49,AM,0
94319,$800.00,F,AV,PP,$800.00,GHI000077356,TB,23-Apr-18,18-19,O,0
62575,$460.00,F,AV,M,$460.00,GHI000358933,TB,09-Aug-17,18-19,AM,0
70361,$360.00,F,RP,U,$360.00,GHI000312072,TB,07-Dec-16,18-19,O,0
146580,$900.00,F,AV,M,$900.00,GHI000081943,TB,23-Jul-20,35-39,O,0
41519,"$3,900.00",F,AV,M,"$3,900.00",GHI001575696,TB,12-Jun-19,30-34,BP,0
19687,"$2,314.00",M,AV,O,"$2,313.60",GHI001848586,TB,06-Dec-19,45-49,AM,0
130597,$200.00,M,RP,PP,$200.00,GHI000724996,TB,23-Oct-20,45-49,S,0
110099,"$1,968.00",M,AV,NE,"$1,968.00",GHI000097292,TB,03-Mar-17,35-39,C,0
111556,"$2,000.00",M,AV,M,"$2,000.00",GHI001071876,TB,30-Jan-20,40-44,C,0
124595,$210.00,M,AV,M,$210.00,GHI000375313,TB,02-Jul-20,60-64,T,0
21380,$300.00,F,AV,M,$300.00,GHI002062082,TB,10-Sep-20,25-29,O,0
38676,$560.00,F,AV,NE,$560.00,GHI000161437,TB,18-May-18,25-29,S,0
31665,$330.00,M,AV,PP,$330.00,GHI000134686,TB,11-Sep-20,60-64,AM,0
97949,$240.00,F,AV,PP,$240.00,GHI000437510,TB,08-Feb-17,20-24,AM,0
36819,$900.00,F,AV,NE,$900.00,GHI001717251,TB,14-May-19,40-44,N,0
50848,$104.00,F,AV,NE,$104.00,GHI000112669,TB,28-Mar-17,60-64,O,0
76883,$140.00,M,AV,M,$140.00,GHI000086558,TB,15-May-18,25-29,C,0
127665,$875.00,M,RP,NE,$875.00,GHI001256714,TB,24-Apr-19,25-29,O,0
116657,$760.00,M,AV,NE,$760.00,GHI001429524,TB,19-Jun-20,55-59,C,0
120780,"$1,000.00",F,AV,O,"$1,000.00",GHI000791055,TB,30-May-19,45-49,O,0
3077,"$1,020.00",F,AV,M,"$1,020.00",GHI000162572,TB,29-Jul-20,18-19,O,0
2671,$560.00,F,AV,M,$560.00,GHI000185355,TB,07-Apr-17,20-24,C,0
52983,$210.00,F,AV,M,$210.00,GHI000112669,TB,01-Aug-17,35-39,O,0
40320,$520.00,F,AV,M,$520.00,GHI000944899,TB,15-Nov-19,18-19,AM,0
36390,"$1,160.00",F,AV,NE,"$1,160.00",GHI000134683,TB,06-Dec-19,65+,C,0
95655,$488.00,F,AV,M,$488.00,GHI001206283,TB,09-Jul-20,25-29,O,0
94388,$980.00,M,AV,NE,$980.00,GHI000077356,TB,28-Jun-19,40-44,AM,0
17639,"$1,784.00",F,AV,M,"$1,783.50",GHI000147019,TB,12-Sep-18,45-49,AM,0
84536,"$1,080.00",F,AV,NE,"$1,080.00",GHI000585992,TB,25-Jan-17,30-34,S,0
68596,"$1,200.00",F,AV,NE,"$1,200.00",GHI001893124,TB,11-May-20,25-29,W,0
98995,"$1,160.00",F,AV,PP,"$1,160.00",GHI000087696,TB,09-Sep-19,20-24,O,0
138613,"$1,370.00",F,AV,NE,"$1,369.50",GHI000140316,TB,13-Mar-17,35-39,Wlg,0
74401,"$1,000.00",F,AV,M,"$1,000.00",GHI000088584,TB,11-Apr-19,35-39,NL,0
104297,$880.00,F,RP,M,$880.00,GHI000096091,TB,20-Jun-17,25-29,EC,0
113348,"$1,260.00",F,RP,M,"$1,260.00",GHI000094277,TB,08-May-20,40-44,C,0
144631,"$2,080.00",M,RP,U,"$2,080.00",GHI000185359,TB,20-Jul-20,50-54,O,0
16385,"$2,040.00",F,AV,NE,"$2,040.00",GHI001065478,TB,12-Feb-20,30-34,C,0
33477,"$1,977.00",F,AV,M,"$1,977.42",GHI001057544,TB,05-Apr-17,35-39,AM,0
120712,"$1,260.00",F,RP,NE,"$1,260.00",GHI000775938,TB,08-Feb-17,20-24,C,0
115400,"$1,520.00",F,AV,M,"$1,520.00",GHI000089643,TB,30-Oct-17,60-64,NL,0
99936,"$1,460.00",M,AV,M,"$1,460.00",GHI001519108,TB,20-Dec-19,45-49,Wlg,0
36437,$300.00,F,AV,NE,$300.00,GHI001505282,TB,14-Mar-18,17,O,0
23483,"$1,920.00",F,AV,M,"$1,920.00",GHI000474113,TB,05-Apr-18,20-24,AM,0
3475,"$1,940.00",F,AV,M,"$1,940.00",GHI000151115,TB,17-Jan-19,25-29,AM,0
24655,$176.00,F,AV,NE,$176.00,GHI000091676,TB,08-Jan-18,20-24,C,0
24307,$600.00,F,AV,M,$600.00,GHI000143151,TB,07-Sep-17,65+,Wlg,0
91187,$325.00,F,AV,M,$325.00,GHI001565952,TB,07-Dec-18,30-34,C,0
94880,$212.00,M,AV,NE,$212.00,GHI001206283,TB,21-Dec-17,50-54,O,0
66231,"$1,380.00",F,AV,NE,"$1,380.00",GHI000759045,TB,06-Nov-19,25-29,AM,0
126502,$880.00,M,AV,O,$880.00,GHI000138496,TB,17-Dec-18,55-59,AM,0
75438,"$1,520.00",F,AV,NE,"$1,520.00",GHI001057551,TB,13-Aug-19,30-34,C,0
120862,$460.00,F,AV,PP,$460.00,GHI001217311,TB,01-Jul-20,30-34,AM,0
139323,"$1,800.00",F,AV,U,"$1,800.00",GHI001525762,TB,07-Oct-20,25-29,BP,0
113782,$200.00,M,AV,NE,$200.00,GHI000369934,TB,23-Jan-17,50-54,O,0
136574,"$2,240.00",F,AV,NE,"$2,240.00",GHI002038818,TB,15-Aug-20,30-34,AM,0
41956,$960.00,F,AV,NE,$960.00,GHI000100902,TB,09-Nov-17,60-64,W,0
144639,"$3,000.00",F,AV,M,"$3,000.00",GHI001523718,TB,23-Nov-18,40-44,AM,0
23922,$520.00,M,RP,NE,$520.00,GHI000095243,TB,25-Nov-20,20-24,O,0
50489,$208.00,F,RP,PP,$208.00,GHI000112669,TB,10-Mar-17,40-44,O,0
134370,$410.00,M,RP,M,$410.00,GHI000145160,TB,13-Aug-19,45-49,Wlg,0
85764,$750.00,M,AV,NE,$750.00,GHI000097321,TB,25-May-20,30-34,C,0
54937,$210.00,F,AV,NE,$210.00,GHI000112669,TB,20-Nov-17,25-29,O,0
145033,"$1,160.00",M,AV,M,"$1,160.00",GHI001388563,TB,19-Nov-20,35-39,O,0
140845,$100.00,M,AV,PP,$100.00,GHI001503751,TB,19-Dec-19,40-44,AM,0
12398,"$2,040.00",F,RP,M,"$2,040.00",GHI001240578,TB,13-Mar-20,30-34,AM,0
46929,$200.00,M,AV,M,$200.00,GHI001226772,TB,15-Oct-19,60-64,NL,0
5325,$444.00,M,AV,M,$444.00,GHI001304576,TB,18-Feb-19,25-29,O,0
26790,$172.00,F,AV,O,$172.02,GHI001845000,TB,01-May-20,30-34,NL,0
76803,$420.00,M,RP,M,$420.00,GHI000086558,TB,12-Dec-17,20-24,C,0
44213,$60.00,M,AV,M,$60.00,GHI000102154,TB,20-Nov-20,50-54,O,0
